Player_name;Team_name;position_description;Round_name;yellow_card_points;red_card_points;yellowred_card_points;goals_points;goals_conceded_points;own_goals_points;penalty_points;clean_sheet_points;assists_points;match_won_points;match_draw_points;total_points
Dušan Tadić;Ajax;attack;1;0;0;0;6;0;0;0;0;1;3;0;10
Noussair Mazraoui;Ajax;midfield;1;0;0;0;4;0;0;0;0;2;3;0;9
Jordan Teze;PSV;defense;1;0;0;0;0;0;0;0;2;3;3;0;8
Tyrell Malacia;Feyenoord;defense;1;0;0;0;0;0;0;0;2;3;3;0;8
Juriën Gaari;RKC Waalwijk;defense;1;0;0;0;0;0;0;0;2;3;3;0;8
Mark van der Maarel;FC Utrecht;defense;1;-2;0;0;5;0;0;0;2;0;3;0;8
Guus Til;Feyenoord;midfield;1;0;0;0;4;0;0;0;0;0;3;0;7
Adam Maher;FC Utrecht;midfield;1;0;0;0;4;0;0;0;0;0;3;0;7
Ahmed El Messaoudi;FC Groningen;midfield;1;0;0;0;4;0;0;0;0;0;3;0;7
Chukwunonso Madueke;PSV;midfield;1;0;0;0;4;0;0;0;0;0;3;0;7
Tibor Halilović;SC Heerenveen;midfield;1;0;0;0;4;0;0;0;0;0;3;0;7
Armindo Tué Na Bangna;PSV;midfield;1;0;0;0;4;0;0;0;0;0;3;0;7
Marcus Schubert;Vitesse;goalkeeper;1;0;0;0;0;0;0;0;3;0;3;0;6
Nikolai Baden Frederiksen;Vitesse;attack;1;0;0;0;3;0;0;0;0;0;3;0;6
Michiel Kramer;RKC Waalwijk;attack;1;0;0;0;3;0;0;0;0;0;3;0;6
Yvon Landry Mvogo;PSV;goalkeeper;1;0;0;0;0;0;0;0;3;0;3;0;6
Erwin Mulder;SC Heerenveen;goalkeeper;1;0;0;0;0;0;0;0;3;0;3;0;6
Bryan Linssen;Feyenoord;attack;1;0;0;0;3;0;0;0;0;0;3;0;6
Justin Bijlow;Feyenoord;goalkeeper;1;0;0;0;0;0;0;0;3;0;3;0;6
Sébastien Haller;Ajax;attack;1;0;0;0;3;0;0;0;0;0;3;0;6
Maarten Paes;FC Utrecht;goalkeeper;1;0;0;0;0;0;0;0;3;0;3;0;6
Joel Pereira Castro;RKC Waalwijk;goalkeeper;1;0;0;0;0;0;0;0;3;0;3;0;6
Luis Fernando Sinisterra Lucumí;Feyenoord;attack;1;0;0;0;3;0;0;0;0;0;3;0;6
Maarten Stekelenburg;Ajax;goalkeeper;1;0;0;0;0;0;0;0;3;0;3;0;6
Alois Dominik Oroz;Vitesse;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Ibrahim Drešević;SC Heerenveen;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Edson Omar Álvarez Velázquez;Ajax;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Sven van Beek;SC Heerenveen;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Hidde ter Avest;FC Utrecht;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Enzo Cornelisse;Vitesse;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Joey Veerman;SC Heerenveen;midfield;1;0;0;0;0;0;0;0;0;2;3;0;5
Alexander Büttner;RKC Waalwijk;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Thierry Lutonda;RKC Waalwijk;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Armando Obispo;PSV;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Rami Kaib;SC Heerenveen;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Tesfaldet Tekie;Fortuna Sittard;midfield;1;0;0;0;0;0;0;0;0;2;3;0;5
Marcos Senesi;Feyenoord;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Daley Blind;Ajax;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Mats Seuntjens;Fortuna Sittard;midfield;1;-2;0;0;4;0;0;0;0;0;3;0;5
Willem Janssen;FC Utrecht;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Maximilian Wittek;Vitesse;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Tomáš Hájek;Vitesse;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Lisandro Martínez;Ajax;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Django Warmerdam;FC Utrecht;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Million Manhoef;Vitesse;midfield;1;0;0;0;0;0;0;0;0;2;3;0;5
Gernot Trauner;Feyenoord;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Davy Pröpper;PSV;midfield;1;0;0;0;0;0;0;0;0;2;3;0;5
Philipp Mwene;PSV;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Ahmed Touba;RKC Waalwijk;defense;1;0;0;0;0;0;0;0;2;0;3;0;5
Tomáš Suslov;FC Groningen;attack;1;0;0;0;0;0;0;0;0;1;3;0;4
Robin Maulun;SC Cambuur;midfield;1;0;0;0;4;0;0;0;0;0;0;0;4
Toshio Lake;Fortuna Sittard;attack;1;0;0;0;3;0;0;0;0;1;0;0;4
Steven Berghuis;Ajax;attack;1;0;0;0;0;0;0;0;0;1;3;0;4
Ibrahim Sangaré;PSV;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Ryan Gravenberch;Ajax;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Michael de Leeuw;FC Groningen;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Arjen van der Heide;SC Heerenveen;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Saïd Bakari;RKC Waalwijk;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Othman Boussaid;FC Utrecht;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Anastasios Douvikas;FC Utrecht;attack;1;0;0;0;3;0;0;0;0;0;0;0;3
Jurriën Maduro;Ajax;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Marcus Holmgren Pedersen;Feyenoord;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Azor Matusiwa;FC Groningen;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Jørgen Strand Larsen;FC Groningen;attack;1;0;0;0;3;0;0;0;0;0;0;0;3
Iliass Bel Hassani;RKC Waalwijk;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Bart Ramselaar;FC Utrecht;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Adrián Dalmau Vaquer;FC Utrecht;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
André Ramalho Silva;PSV;defense;1;-2;0;0;0;0;0;0;2;0;3;0;3
Naoufal Bannis;Feyenoord;attack;1;0;0;0;3;0;0;0;0;0;0;0;3
Sondre Tronstad;Vitesse;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Emil Hansson;Fortuna Sittard;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Quinten Maduro;FC Utrecht;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Henk Veerman;SC Heerenveen;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Ayman Azhil;RKC Waalwijk;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Jens Toornstra;Feyenoord;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Fredrik Aursnes;Feyenoord;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Davy Klaassen;Ajax;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Mitchell van Bergen;SC Heerenveen;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Milan van Ewijk;SC Heerenveen;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Samy Baghdadi;Fortuna Sittard;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Ridgeciano Haps;Feyenoord;defense;1;0;0;0;0;0;0;0;0;3;0;0;3
Richard van der Venne;RKC Waalwijk;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Gyrano Kerk;FC Utrecht;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Orkun Kökçü;Feyenoord;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Gabriel Gudmundsson;FC Groningen;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Sylian Aldren Mokono;FC Utrecht;defense;1;0;0;0;0;0;0;0;0;3;0;0;3
Yorbe Vertessen;PSV;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Lois Openda;Vitesse;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Yann Gboho;Vitesse;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Mohamed El Hankouri;FC Groningen;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Cyril Ngonge;FC Groningen;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Rodney Kongolo;SC Heerenveen;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Richie Musaba;Fortuna Sittard;attack;1;0;0;0;0;0;0;0;0;0;3;0;3
Arianit Ferati;Fortuna Sittard;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Melle Meulensteen;RKC Waalwijk;midfield;1;0;0;0;0;0;0;0;0;0;3;0;3
Neraysho Kasanwirjo;FC Groningen;defense;1;0;0;0;0;-1;0;0;0;0;3;0;2
Yanick van Osch;Fortuna Sittard;goalkeeper;1;0;0;0;0;-1;0;0;0;0;3;0;2
Martin Angha-Lötscher;Fortuna Sittard;defense;1;0;0;0;0;-1;0;0;0;0;3;0;2
Jamie Jacobs;SC Cambuur;midfield;1;0;0;0;0;0;0;0;0;2;0;0;2
Wessel Dammers;FC Groningen;defense;1;0;0;0;0;-1;0;0;0;0;3;0;2
Peter Leeuwenburgh;FC Groningen;goalkeeper;1;0;0;0;0;-1;0;0;0;0;3;0;2
Roel Janssen;Fortuna Sittard;defense;1;0;0;0;0;-1;0;0;0;0;3;0;2
Mike te Wierik;FC Groningen;defense;1;0;0;0;0;-1;0;0;0;0;3;0;2
Lazaros Rota;Fortuna Sittard;defense;1;0;0;0;0;-1;0;0;0;0;3;0;2
Mauro Jaqueson Júnior Ferreira dos Santos;PSV;midfield;1;-2;0;0;0;0;0;0;0;0;3;0;1
Matúš Bero;Vitesse;midfield;1;-2;0;0;0;0;0;0;0;0;3;0;1
Ricky van Wolfswinkel;FC Twente;attack;1;-2;0;0;3;0;0;0;0;0;0;0;1
Deroy Duarte;Fortuna Sittard;midfield;1;-2;0;0;0;0;0;0;0;0;3;0;1
Simon Gustafson;FC Utrecht;midfield;1;0;0;0;0;0;0;1;0;0;0;0;1
Oussama Darfalou;Vitesse;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Jordy Bruijn;NEC;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Jordy Clasie;AZ Alkmaar;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Dirk Proper;NEC;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Peer Koopmeiners;AZ Alkmaar;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Jeffrey de Lange;FC Twente;goalkeeper;1;0;0;0;0;0;0;0;0;0;0;0;0
Dimitris Limnios;FC Twente;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Wesley Spieringhs;Willem II;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Jeroen Houwen;Vitesse;goalkeeper;1;0;0;0;0;0;0;0;0;0;0;0;0
Victor Jensen;Ajax;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Adrián Dalmau Vaquer;Sparta Rotterdam;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Gaultiér Overman;Sparta Rotterdam;defense;1;0;0;0;0;0;0;0;0;0;0;0;0
Rico Strieder;PEC Zwolle;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Gervane Kastaneer;PEC Zwolle;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Mees De Wit;PEC Zwolle;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Bart van Hintum;FC Groningen;defense;1;0;0;0;0;0;0;0;0;0;0;0;0
Dean Huiberts;PEC Zwolle;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Samir Lagsir;PEC Zwolle;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Rav van den Berg;PEC Zwolle;defense;1;0;0;0;0;0;0;0;0;0;0;0;0
Xavier Mous;SC Heerenveen;goalkeeper;1;0;0;0;0;0;0;0;0;0;0;0;0
Luca de la Torre;Heracles Almelo;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Bryan Smeets;Sparta Rotterdam;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
David Sambissa;SC Cambuur;defense;1;0;0;0;0;0;0;0;0;0;0;0;0
Michael Breij;SC Cambuur;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Rai Vloet;Heracles Almelo;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Nikolai Laursen;Heracles Almelo;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Kasper Lunding Jakobsen;Heracles Almelo;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Mohamed Amissi;Heracles Almelo;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Elias Sierra;Heracles Almelo;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Mitchel Paulissen;SC Cambuur;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Finn Stokkers;RKC Waalwijk;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Lars Nieuwpoort;RKC Waalwijk;defense;1;0;0;0;0;0;0;0;0;0;0;0;0
Achraf El Bouchataoui;RKC Waalwijk;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Sebbe Augustijns;RKC Waalwijk;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Romaric Yapi;Vitesse;defense;1;0;0;0;0;0;0;0;0;0;0;0;0
Julian Vonmoos;Vitesse;attack;1;0;0;0;0;0;0;0;0;0;0;0;0
Ilias Bronkhorst;NEC;defense;1;0;0;0;0;0;0;0;0;0;0;0;0
Dani de Wit;AZ Alkmaar;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
Jesse Bosch;FC Twente;midfield;1;0;0;0;0;0;0;0;0;0;0;0;0
